,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
258,Steamed chestnut red bean sweet rice (30),Bean sprout soup,Braised mini-potato,Seasoned salad with winter cabbage,Young radish water kimchi,S sweet pumpkin rice punch,S banana shake,Steamed black rice (30),Tofu potato soup,Braised beef and tomato,Seasoned salad with bokchoy in vinegar marinade,Mustard leave and stem kimchi,S tangerine (50g),S egg porridge,Curried rice with beef,Assorted mushroom soup,Stir-fried shrimp in cream sauce,Chicken breast (mustard sauce),Sweet radish kimchi
259,Steamed sweet potato rice (30),Oyster mushroom soup,Vegetable croquette,Stir-fried dried shrimp and zucchini,Radish kimchi cubes,S homestyle banana milk,S rice-based beverage,Steamed rice with black beans,Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S soft tofu salad (oriental dressing),empty,Beef and aubergine over rice,Mini-ball rice cake seaweed soup,Seasoned oyster mushroom,empty,Ponytail radish kimchi
260,Japanese style beef over rice (kyudon),Brown kelp and potato soup,Stir-fried octopus and vegetables in spicy sauce,Braised meat ball and paprika,Pickled cucumber,S raisin potato bowl,S sweet pumpkin rice punch,Steamed sweet rice (add),Mini udon with fried tofu,Tomato cheese salad,Steamed fish and zucchini,Pickled beet,S yakult,S chilled bean soup with noodles,Steamed red bean rice (30),Mushroom soup,Seasoned bellflower root and perilla seed,Braised chicken(breast) in teriyaki sauce,Cucumber kimchi
261,Steamed corn rice,Young pumpkin soup(clear),Seasoned salad with aubergine in marinade sauce,Braised anchovy and sweet napa cabbage,Water kimchi,S rice-based beverage,S soft tofu salad (oriental dressing),Steamed sweet rice and brown rice (30),Mandu (dumpling) chicken stew,Braised burdock slices and konjac,Vegetable croquette,Radish kimchi cubes,S milk (100ml),S beef burdock porridge,Curried rice with chicken and potato + marinade sauce,Tofu shabu-shabu,Seasoned salad with bellflower root,Seasoned winter mushroom and chive,Ponytail radish kimchi
262,Rice with beans (30),Mugwort meat dumpling soup,Braised chicken in curry(meat only),Pan-fried mung bean,Green onion kimchi,S korean melon salad,S milk (200ml),Steamed mung bean rice,Shredded onion soup,Stir-fried zucchini and onion,Stir-fried zucchini,Young radish kimchi,S barley tea,S bokchoy porridge,Veggie rice ball,Sweet rice dough soup,Stir-fried chicken in soy sauce without bones,Dried radish,Pickled korean style daikon
263,Steamed sweet rice (add),Oyster mushroom soup,Seasoned salad with egg plant,Steamed aubergine in sauce,Pickled beet,S milk (100ml),S sesame milk soup,Stir-fried rice beef in oyster sauce,Mandu (dumpling) soup,Braised burdock slices and konjac,Vegetable croquette,Water kimchi,S tomato juice,S soft tofu salad (oriental dressing),Steamed red bean rice (30),Crap soup,Stir-fried zucchini and dried shrimp,empty,Ponytail radish kimchi
264,Curried rice with chicken and potato + marinade sauce,River snail soy paste soup,Stir-fried dried shrimp and zucchini,Seasoned oyster mushroom,Young radish water kimchi,S rice-based beverage,S tofu vagetable porridge,Steamed sorghum rice (30),Chicken stew,Barbequed pork belly and cuttlefish (mild flavor),Seasoned bellflower root,Cucumber kimchi,S raisin potato bowl,S peach walnut smoothie,Steamed chestnut bean rice,Zucchini salted shrimp soup,Seasoned salad with sweet potato stem in soy paste,Seasoned salad with dried cuttlefish and dried radish,Radish kimchi cubes
265,Steamed red bean rice (30),Noodles in fish soup,Seasoned winter mushroom,Vegetable croquette,Pickled beet,S milk (100ml),S beef burdock porridge,Steamed sweet rice (add),Red bean porridge,Seasoned winter mushroom and chive,Braised burdock slices and konjac,Ponytail radish kimchi,S tomato juice,S soft tofu salad (oriental dressing),Shrimp cream spaghetti,empty,Stir-fried zucchini and dried shrimp,empty,Radish watery kimchi
266,Steamed sweet rice and brown rice (30),Mussel daikon soup,Seasoned oyster mushroom,Seasoned salad with broccoli shrimp and sesame,Cucumber kimchi,S sweet pumpkin rice punch,S peach walnut smoothie,Japanese style beef over rice (kyudon),Mini udon with fried tofu,Roasted potato with butter,Seasoned salad with shepherd's purse,Water kimchi,S cream sauce spaghetti,S korean melon salad,Steamed chestnut bean rice,Zucchini salted shrimp stew,Seasoned salad with sweet potato stem in soy paste,Barbequed pork belly and cuttlefish (mild flavor),Young radish water kimchi
267,Steamed sweet rice,Konjac fried fish paste soup,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried tofu and vegetables in oyster sauce,Young radish kimchi,S homestyle banana milk,S rice punch,Shrimp mushroom rice bowl,Mandu (dumpling) chicken stew,Cabbage wraps,empty,Ponytail radish kimchi,S potato yoghurt salad,S tofu vagetable porridge,Steamed corn rice (30),Veggie soup,Steamed aubergine in sauce,empty,Radish kimchi cubes
268,Steamed chestnut bean rice (30),Mushroom stew in soy sauce,Seasoned young pumpkin,Seasoned salad with sweet potato stem in soy paste,Pickled beet,S raisin potato bowl,S solomon's seal tea,Steamed pearl barley rice,Fried tofu spring onion soup,Braised potato and fried fish cake,Seasoned salad with dried cuttlefish and dried radish,Young radish water kimchi,S sesame milk soup,S sweet potato shake,Pork and cabbage over rice,Oyster mushroom soup,Stir-fried zucchini,empty,Water kimchi
269,Stir-fried rice with seafood,Mandu (dumpling) chicken stew,Stir-fried dried shrimp and zucchini,Stir-fried jukkumi and vegetables in soy sauce,Radish kimchi cubes,S rice-based beverage,S peach walnut smoothie,Steamed corn rice (30),Oyster mushroom soup(clear),Seasoned salad with spicy bean sprout,Seasoned oyster mushroom,Ponytail radish kimchi,S aglio e olio spaghetti,S potato salad,Steamed sweet rice,Zucchini soup(clear),Braised spicy chicken,Steamed aubergine in sauce,Young radish kimchi
270,Steamed sweet rice (add),Mandu (dumpling) soup,Seasoned salad with bellflower root,Seasoned salad with korean melon and overripe cucumber,Pickled beet,S homestyle banana milk,S sweet pumpkin rice punch,Steamed red bean rice (30),Kimchi soup(clear),Braised meat ball and paprika,Stir-fried anchovy with perilla leaves,Cucumber kimchi,S soft tofu salad (oriental dressing),S beef burdock porridge,Stir-fried rice with broccoli and vegetables,Freshwater snail tofu soy paste soup,Seasoned salad with shepherd's purse,Stir-fried zucchini and dried shrimp,Water kimchi
271,Steamed mung bean rice (40),Tofu clam soup,Seasoned herbs with aubergine,Steamed mandu (dumpling),Perilla leaf kimchi,S walnut milk,S raisin potato bowl,Steamed pearl barley rice,Potato onion soup,Stir-fried zucchini and carrot,Seasoned salad with lettuce in yuzu marinade,Kohlrabi watery kimchi,S mini udon (white wheat noodles),S black sesame soy milk (150ml),Curried rice with saesongyi mushroom,Assorted mushroom stew,Roasted smoked duck with vagetable,Tomato caprese salad,Young radish water kimchi
272,Steamed sweet rice,Seaweed mandu (dumpling) soup,Seasoned oyster mushroom,Seasoned salad with spicy bean sprout,Sweet radish kimchi,S potato raisin salad,S rice punch,Japanese style beef over rice (kyudon),Oyster mushroom soup,Daikon and pear salad,Steamed eggs with sweet pumpkin,Radish kimchi cubes,S sweet potato shake,S beef seaweed porridge,Steamed chestnut red bean sweet rice (30),Zucchini salted shrimp soup,Seasoned fuki stem and perilla seed,Seasoned salad with winter cabbage,Young radish kimchi
273,Stir-fried rice with cherry tomato and shrimp,Napa cabbage soup,Sweet potato mattang,Stir-fried soft crab and vegetables,Water kimchi,S milk (150ml),S rice-based beverage,Steamed chestnut rice (40),Mushroom stew,Pan-fried mushroom,Steamed eggs with soft crab,Pickled beet,S cheese porridge,S cucumber carrot stick,Steamed mung bean rice,Red bean porridge,Stir-fried zucchini,Stir-fried chicken in soy sauce without bones,Cucumber kimchi
274,Steamed pearl barley rice,Clam soy paste stew,Stir-fried potato and paprika,Braised korean kebab in soy sauce,Ponytail radish kimchi,S orange juice (sugar-free),S walnut milk,Steamed sweet rice (30),Shepherd's purse bean sprout soy paste soup,Fresh kimchi with chicory,Steamed eggs (40g),Radish kimchi cubes,S burdock rice ball,S macaroni and vegetable salad,Steamed sweet rice and red bean,Pork back-bone stew,Seasoned winter cabbage,Seasoned salad with spring parsley in soy sauce,Kohlrabi watery kimchi
275,Paprika rice ball with fried tofu,Mandu (dumpling) chicken stew,Stir-fried jukkumi and,Stir-fried spicy jukkumi,Cucumber kimchi,S beef burdock porridge,S raisin potato bowl,Steamed red bean rice (30),Mandu (dumpling) soup,Seasoned salad with deodeok and apple,Braised cutlassfish,Pickled beet,S sweet pumpkin rice punch,S milk (100ml),Steamed sweet rice (add),Seaweed mandu (dumpling) soup,Sedum and black sesame salad,empty,Young radish water kimchi
276,Steamed black rice (30),Mandu (dumpling) unpressed tofu stew,Braised spicy chicken,Stir-fried chicken in soy paste without bones,Water kimchi,S tofu vagetable porridge,S soft tofu salad (oriental dressing),Steamed sweet potato rice (40),Potato zucchini soup,Soy sauce-braised beef shank,Braised mini-potato,Radish kimchi cubes,S black sesame soy milk (200ml),S sweet potato shake,Rice (extra),Perilla seed potato soup,Cucumber and tomato salad (balsamic vinegar dressing),Salted dried sea lettuce,Ponytail radish kimchi
277,Steamed chestnut bean rice (30),Bean sprout beef stew,Braised anchovy and sweet napa cabbage,Seasoned salad with deodeok and apple,Young radish water kimchi,S beef burdock porridge,S rice-based beverage,Steamed pearl barley rice,Mandu (dumpling) soup,Roasted aubergine,Seasoned salad with egg plant,Cucumber kimchi,S milk (100ml),S potato yoghurt salad,Paprika rice ball with fried tofu,Zucchini tofu soy paste soup,Dried radish,Vegetable croquette,Pickled beet
278,Steamed sorghum rice (30),Kimchi soup(clear),Seasoned salad with garlic stem,Seasoned perilla leaf,Radish kimchi cubes,S homestyle banana milk,S sesame sweet potato porridge,Steamed corn rice,Fried tofu miso soup,Seasoned winter cabbage,Chuncheon-style stir-fried chicken,Pickled korean style daikon,S macaroni and vegetable salad,S hot chocolate,Deluxe rice with pyogo mushroom and chwinamul,Mushroom chive soup,Seasoned salad with spring parsley,Scrambled eggs with soft crab,Ponytail radish kimchi
279,Steamed rice with black beans,Mandu (dumpling) soup,Braised sweet potato and quail eggs,Stir-fried zucchini and dried shrimp,Water kimchi,S korean melon salad,S milk (100ml),Curried rice with chicken and potato + marinade sauce,Assorted mushroom stew,Vegetable croquette,Seasoned salad with bellflower root,Pickled cucumber,S cheese soft crab porridge,S rice-based beverage,Steamed red bean rice (30),Potato soup,Seasoned oyster mushroom,empty,Cucumber kimchi
280,Steamed sweet rice,Mandu (dumpling) unpressed tofu stew,Seasoned salad with sweet potato stem in soy paste,Seasoned salad with spicy bean sprout,Radish kimchi cubes,S raisin potato bowl,S rice punch,Pork and cabbage over rice,Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Braised pork shanks,Ponytail radish kimchi,S sweet potato shake,empty,Steamed corn rice (30),Oyster mushroom soup,Sedum and black sesame salad,Steamed aubergine in sauce,Young radish water kimchi
281,Japanese style beef over rice (kyudon),Tofu shabu-shabu,Steamed aubergine with marinade sauce,Braised burdock slices and konjac,Young radish kimchi,S sweet potato salad (mayonnaise),S orange juice (sugar-free),Steamed red bean rice (30),Zucchini salted shrimp stew,Seasoned oyster mushroom,Stir-fried zucchini,Water kimchi,S cream sauce spaghetti,S homestyle banana milk,Steamed pearl barley rice,Bean sprout beef stew,Braised anchovy and sweet napa cabbage,Daikon and pear salad,Perilla leaf kimchi
282,Steamed sweet rice (add),Red bean porridge,Seasoned salad with sweet potato stem in soy paste,Vegetable croquette,Radish kimchi cubes,S cheese soft crab porridge,S tomato juice,Beef and aubergine over rice,Assorted mushroom stew,Seasoned salad with korean melon and overripe cucumber,Stir-fried dried shrimp and zucchini,Pickled beet,S soft tofu salad (oriental dressing),S milk (100ml),Steamed sorghum rice (30),Brown kelp and salted shrimp soup,Spicy barbequed pork belly and cuttlefish,empty,Ponytail radish kimchi
283,Pork and cabbage over rice,Seaweed mandu (dumpling) soup,Braised sweet potato in sweet soy sauce,Seasoned salad with spicy bean sprout,Young radish water kimchi,S raisin potato bowl,S homestyle blueberry milk,Steamed sweet rice,Carrot soup,(chilli powder-free) seasoned salad with chive and apple,Steamed aubergine with marinade sauce,Young radish kimchi,S rice-based beverage,S beef potato porridge,Steamed chestnut bean rice (30),Mandu (dumpling) chicken stew,Seasoned young pumpkin,Stir-fried zucchini,Water kimchi
284,Stir-fried rice with broccoli and vegetables,Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Pan-fried beef and maesaengyi,Pickled cucumber,S potato yoghurt salad,S homestyle banana milk,Steamed red bean rice (30),Tofu shabu-shabu,Steamed fish and zucchini,Seasoned salad with bellflower root,Sweet radish kimchi,S cheese soft crab porridge,S sweet pumpkin rice punch,Steamed sweet rice (add),Young pumpkin soup(clear),Braised chicken(breast) in teriyaki sauce,Stir-fried spicy jukkumi,Radish watery kimchi
285,Steamed corn rice (30),Zucchini salted shrimp soup,Seasoned salad with spicy bean sprout,Braised pork shanks,Young radish kimchi,S soft tofu salad (oriental dressing),S orange juice (sugar-free),Japanese style beef over rice (kyudon),Oyster mushroom soup(clear),Sweet potato mash with nuts,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi,S banana shake,empty,Steamed sweet rice,Mandu (dumpling) unpressed tofu stew,Daikon and pear salad,Steamed aubergine in sauce,Radish kimchi cubes
286,Steamed red bean rice (30),Mandu (dumpling) chicken stew,Steamed aubergine with marinade sauce,Beans cooked in soy sauce,Pickled beet,S raisin potato bowl,S sweet pumpkin rice punch,Beef vegetable fried rice,Oyster mushroom soup,Braised burdock slices and konjac,Stir-fried dried shrimp and zucchini,Young radish water kimchi,S cheese stick,S homestyle banana milk,Steamed sweet rice (add),Konjac fried fish paste soup,Stir-fried jukkumi and vegetables in soy sauce,Roasted aubergine,Water kimchi
287,Steamed sorghum rice (30),Little neck clam soy paste soup,Stir-fried pork and lotus root with glass noodles,Braised eggs in soy sauce,Ponytail radish kimchi,S milk with misugaru (mixed grain powder),S korean melon salad,Steamed millet rice,Kimchi bean sprout soup,Stir-fried chicken in soy sauce without bones,Seasoned salad with paprika in yuzu marinade,Young radish kimchi,S jujube milk soup,S rice-based beverage,Japanese style beef over rice (kyudon),Red bean porridge,Seasoned oyster mushroom,Braised tofu in marinade sauce,Kohlrabi watery kimchi
288,Steamed chestnut bean rice (30),Curled mallow soup(clear),Stir-fried webfoot octopus and vegetables,Stir-fried chicken and cabbage,Radish kimchi cubes,S orange juice,S milk (200ml),Stir-fried rice with aubergine and vegetables,Potato soup,Pan-fried seafood and kimchi,Stir-fried summer radish,Young radish water kimchi,S raisin potato bowl,S bokchoy porridge,Steamed chestnut red bean sweet rice,Pork back-bone stew,Seasoned salad with winter celery in vinegar marinade,Braised sweet potato and quail eggs,Green onion kimchi
289,Stir-fried rice with broccoli and vegetables,Red bean porridge,Vegetable croquette,Pan-fried beef and maesaengyi,Kohlrabi watery kimchi,S barley tea,S homestyle strawberry milk,Steamed sorghum rice (30),Assorted mushroom stew,Stir-fried dried shrimp and zucchini,Stir-fried zucchini and dried shrimp,Pickled cucumber,S korean melon salad,empty,Steamed sweet rice (add),Mini-ball rice cake seaweed soup,Braised sweet potato and quail egg,empty,Ponytail radish kimchi
290,Steamed chestnut bean rice,Zucchini tofu salted shrimp soup,Braised burdock slices and konjac,Braised eggs in soy sauce,Young radish kimchi,S rice-based beverage,S carrot soup,Steamed red bean rice (30),Mandu (dumpling) soup,Lotus root and black sesame salad,Seasoned winter mushroom,Radish kimchi cubes,S raisin potato bowl,S sweet potato shake,Curried rice with chicken and potato + marinade sauce,Mini-ball rice cake seaweed soup,Seasoned bellflower root,Seasoned salad with sweet potato stem in soy paste,Pickled beet
291,Steamed sorghum rice (30),Mini-ball rice cake seaweed soup,Seasoned winter mushroom and chive,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi,S milk (200ml),S sweet pumpkin rice punch,Steamed sweet rice and red bean,Oyster mushroom soup,Vegetable croquette,Steamed seafood,Cucumber kimchi,S soft tofu salad (oriental dressing),S beef burdock porridge,Stir-fried rice with broccoli and vegetables,Beef bone-broth green onion soup,Lettuce salad (kiwi dressing),Stir-fried zucchini and dried shrimp,Sweet radish kimchi
292,Steamed black rice,Red bean porridge,Seasoned salad with spicy bean sprout,Pan-fried vegetables and cuttlefish dumpling,Perilla leaf kimchi,S rice-based beverage,S korean melon salad,Steamed pearl barley rice,Zucchini tofu salted shrimp soup,Seasoned oyster mushroom,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S cheese stick,S milk (100ml),Steamed chestnut bean rice (30),Assorted mushroom stew,Beef japchae,Seasoned bellflower root,Radish kimchi cubes
293,Steamed red bean rice (30),Crushed tofu soy paste soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with paprika in yuzu marinade,Pickled cucumber,S raisin potato bowl,S rice punch,Curried rice with chicken and potato + marinade sauce,Oyster mushroom soup,Stir-fried zucchini and dried shrimp,Seasoned winter mushroom,Radish watery kimchi,S homestyle banana milk,empty,Steamed sweet rice (add),Mandu (dumpling) soup,Vegetable croquette,Potato gratin,Pickled beet
294,Steamed chestnut red bean sweet rice (30),Clam and unpressed tofu soup,Seasoned salad with broccoli in soy paste,Cabbage wraps,Young radish water kimchi,S almond apple doughnut,S sweet pumpkin rice punch,Steamed sweet potato rice,Spring onion bean sprout soup,Pan-fried brown kelp and potato,Parboiled broccoli (black sesame sauce),Ponytail radish kimchi,S soft tofu salad (oriental dressing),S sweet potato shake,Deluxe rice with pyogo mushroom and chwinamul,Sliced potato soup,Boiled and cooled pork slices,empty,Water kimchi
295,Rice (extra),Tofu miso soup,Macaroni and vegetable salad (mayonnaise),Scrambled eggs,Radish kimchi cubes,S milk (200ml),S rice-based beverage,Steamed red bean rice (30),Tofu potato soup,Stir-fried broccoli and vegetables,Dried radish,Young radish kimchi,S cucumber carrot stick,S sweet pumpkin cream risotto,Steamed sweet rice (add),Little neck clam soup,Fresh kimchi with spring parsley,Chicken breast (mustard sauce),Sweet radish kimchi
296,Steamed pearl barley rice,Seaweed mandu (dumpling) soup,Stir-fried zucchini,Seasoned salad with deodeok and apple,Pickled korean style daikon,S peach walnut smoothie,S tomato juice,Steamed mung bean rice (40),Mandu (dumpling) soup,Stir-fried spicy jukkumi,empty,Ponytail radish kimchi,S beef burdock porridge,S soft tofu salad (oriental dressing),Curried rice with tofu,Zucchini tofu salted shrimp soup,Seasoned salad with sweet potato stem in soy paste,empty,Water kimchi
297,Steamed red bean rice (30),Oyster mushroom soup,Stir-fried dried shrimp and zucchini,Stir-fried jukkumi and vegetables in soy sauce,Pickled beet,S sesame milk soup,S misugaru (mixed grain powder),Stir-fried rice with broccoli and vegetables,Young pumpkin soup(clear),Braised chicken(breast) in teriyaki sauce,Seasoned salad with bellflower root,Sweet radish kimchi,S raisin potato bowl,S homestyle banana milk,Steamed sweet rice (add),Mandu (dumpling) soup,Braised meat ball and paprika,Steamed fish and zucchini,Radish kimchi cubes
298,Steamed sweet rice and brown rice (40),Spicy zucchini soup,Stir-fried spring parsley,Steamed potato,Ponytail radish kimchi,S rice-based beverage,S red bean porridge,Japanese style beef over rice (kyudon),Clam sea lettuce soup,Stir-fried tofu and glass noodles,Pork nuggets + sauce,Young radish kimchi,S macaroni and vegetable salad,S homestyle blueberry milk,Steamed corn rice,Zucchini soup,Braised spicy chicken without bones,empty,Mustard leave and stem kimchi
299,Pork and cabbage over rice,Mandu (dumpling) chicken stew,Seasoned salad with spicy bean sprout,Braised pork roll with rice cake in soy sauce,Radish kimchi cubes,S aglio e olio spaghetti,S barley tea,Steamed corn rice (30),Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with sweet potato stem in soy paste,Pickled beet,S sweet potato shake,S raisin potato bowl,Steamed sweet rice,Oyster mushroom soup,Pan-fried vegetables with fried fish paste,Steamed aubergine in sauce,Water kimchi
300,Stir-fried rice with aubergine and vegetables,Bean sprout beef stew,Potato wedge,Stir-fried sweet potato stem,Young radish kimchi,S milk (200ml),S sweet pumpkin rice punch,Steamed chestnut red bean sweet rice,Napa cabbage soup(clear),Seasoned thistle,Seasoned salad with chwinamul(dried),Green onion kimchi,S sujebi,S tangerine (50g),Steamed mixed-grain rice (30),Potato onion soup,Potato salad,Stir-fried webfoot octopus and vegetables,Ponytail radish kimchi
301,Steamed pearl barley rice,Seaweed mandu (dumpling) soup,Roasted smoked duck with vagetable,Stir-fried beef and cabbage,Pickled beet,S soft tofu salad (oriental dressing),S tomato juice,Steamed pearl barley rice (30),Zucchini tofu salted shrimp soup,Steamed mandu (dumpling),Stir-fried dried shrimp and zucchini,Young radish water kimchi,S pan-fried vegetables,S homestyle banana milk,Beef and aubergine over rice,Shiitake mushroom stew,Seasoned winter mushroom,empty,Radish kimchi cubes
302,Pork and cabbage over rice,Fried tofu spring onion soup,Steamed aubergine in sauce,Dried radish,Young radish kimchi,S sweet potato salad (mayonnaise),S tofu vagetable porridge,Steamed corn rice (30),Mandu (dumpling) chicken stew,Seasoned young pumpkin,Steamed aubergine with marinade sauce,Ponytail radish kimchi,S barley tea,S sweet potato shake,Steamed sweet rice (add),Konjac fried fish paste soup,Seasoned salad with spicy bean sprout,Seasoned salad with sweet potato stem in soy paste,Water kimchi
303,Steamed red bean rice (30),Mandu (dumpling) soup,Seasoned oyster mushroom,Stir-fried zucchini and dried shrimp,Radish watery kimchi,S milk (100ml),S soft tofu salad (oriental dressing),Stir-fried rice with seafood,Red bean porridge,Sweet potato mash with nuts,empty,Pickled cucumber,S rice-based beverage,empty,Steamed chestnut bean rice,Carrot soup,Braised burdock slices and konjac,empty,Cucumber kimchi
304,Choongmoo gimbap (rice roll) + side dishes,Cold korean melon seaweed soup,Seasoned salad with spicy bean sprout,Seasoned young pumpkin,Pickled beet,S homestyle banana milk,S sesame milk soup,Steamed sweet rice,Cold bean sprout soup(kelp stock),(chilli powder-free) seasoned salad with chive and apple,Stir-fried tofu and vegetables in oyster sauce,Water kimchi,S solomon's seal tea,S potato salad,Steamed chestnut red bean sweet rice (30),Zucchini salted shrimp stew,Stir-fried potato(shredded),Braised beef and tomato,Ponytail radish kimchi
305,Steamed sorghum rice (30),Pork back-bone stew,Stir-fried chicken in soy sauce without bones,Roasted potato with butter,Cucumber kimchi,S sweet pumpkin rice punch,S melon (50g),Steamed sweet rice (add),Zucchini soup,Seasoned curled mallow,Braised korean kebab in soy sauce,Pickled cucumber,S walnut milk,S egg carrot porridge,Stir-fried rice with eggs and mushroom,Spicy zucchini soup,Coleslaw,Pan-fried seafood and spring cabbage,Perilla leaf kimchi
306,Steamed red bean rice (30),Clear little neck clam soup,Seasoned winter mushroom,Bracken,Young radish water kimchi,S rice-based beverage,S korean melon salad,Steamed chestnut bean rice,Tofu shabu-shabu,Seasoned oyster mushroom,Roasted pork roll with vagetables,Radish kimchi cubes,S homestyle blueberry milk,empty,Japanese style beef over rice (kyudon),Potato seaweed soup,Vegetable croquette,empty,Ponytail radish kimchi
307,Steamed corn rice,Mandu (dumpling) soup,Pan-fried vegetables with crushed tofu,Seasoned salad with korean melon and overripe cucumber,Radish watery kimchi,S tomato juice,S homestyle banana milk,Beef and aubergine over rice,Oyster mushroom soup(clear),Roasted aubergine,Seasoned salad with sweet potato stem in soy paste,Cucumber kimchi,S beef burdock porridge,S soft tofu salad (oriental dressing),Steamed sweet rice (30),Oyster mushroom soup,Stir-fried zucchini and dried shrimp,Seasoned salad with bellflower root,Pickled beet
308,Steamed chestnut red bean sweet rice,Zucchini tofu salted shrimp soup,Braised sweet potato and quail eggs,Seasoned salad with winter celery in vinegar marinade,Radish kimchi cubes,S rice-based beverage,S sesame milk soup,Stir-fried rice with aubergine and vegetables,Pork back-bone stew,Seasoned oyster mushroom,Stir-fried webfoot octopus and vegetables,Water kimchi,S raisin potato bowl,S milk (200ml),Steamed chestnut bean rice (30),Curled mallow soup(clear),Pan-fried seafood and kimchi,empty,Ponytail radish kimchi
309,Stir-fried rice with white kimchi,Mandu (dumpling) chicken stew,Steamed aubergine in sauce,Seasoned salad with spicy bean sprout,Young radish water kimchi,S sweet potato shake,S beef potato porridge,Steamed sweet rice,Oyster mushroom soup(clear),Stir-fried dried shrimp and zucchini,Stir-fried tofu and vegetables in oyster sauce,Pickled beet,S rice punch,S soft tofu salad (oriental dressing),Steamed corn rice (30),Zucchini salted shrimp soup,Steamed seafood,Seasoned young pumpkin,Seasoned salad with pickled daikon
310,Steamed sweet rice (add),Assorted mushroom stew,Pan-fried seafood and kimchi,Stir-fried zucchini and dried shrimp,Water kimchi,S milk (100ml),S rice with hot acorn jelly soup,Japanese style beef over rice (kyudon),Red bean porridge,Stir-fried beef and bokchoy,Vegetable croquette,Ponytail radish kimchi,S rice-based beverage,S korean melon salad,Steamed sorghum rice (30),Mushroom chive soup,Seasoned winter mushroom and chive,Chive and onion salad,Cucumber kimchi
311,Steamed mixed-grain rice (40),Seaweed mandu (dumpling) soup,Seasoned salad with egg plant,Seasoned salad with chicory in yuzu marinade,Radish kimchi cubes,S beef burdock porridge,S soft tofu salad (oriental dressing),Beef rice ball with seaweed flakes,Pork back-bone stew,Lotus root and black sesame salad,empty,Young radish water kimchi,S solomon's seal tea,S homestyle banana milk,Steamed pearl barley rice,Kimchi tofu soup,Dried radish,empty,Pickled korean style daikon
312,Steamed red bean rice (30),River snail soy paste soup,Pan-fried cuttlefish and chive,Seasoned salad with korean melon and overripe cucumber,Pickled beet,S korean melon salad,S cheese porridge,Beef and aubergine over rice,Mandu (dumpling) soup,Vegetable croquette,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S milk (100ml),S tomato juice,Steamed sweet rice (add),Red bean porridge,Stir-fried zucchini and dried shrimp,empty,Ponytail radish kimchi
313,Steamed sweet rice,Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried barbequed beef and mushroom,Young radish kimchi,S rice-based beverage,S aglio e olio spaghetti,Pork and cabbage over rice,Mandu (dumpling) chicken stew,Seasoned salad with spicy bean sprout,Seasoned oyster mushroom,Young radish water kimchi,S raisin potato bowl,S milk with misugaru (mixed grain powder),Steamed corn rice (30),Whole chicken soup,Steamed aubergine in sauce,Stir-fried anchovy with perilla leaves,Radish kimchi cubes
314,Steamed sweet rice and red bean,Zucchini salted shrimp soup or stew,Salted sea lettuce,Stir-fried sweet potato stem,White kimchi,S macaroni and vegetable salad,S barley tea,Steamed chestnut red bean sweet rice (30),Unpressedtofu stew,Dried radish,Stir-fried smoked duck and sweet pumpkin,Pickled beet,S sweet pumpkin porridge,S homestyle blueberry milk,Steamed chestnut rice,Wild chive soup,Steamed eggs with shrimp,Stir-fried chicken in soy paste without bones,Water kimchi
315,Paprika rice ball with fried tofu,Mandu (dumpling) chicken stew,Onion in vinegar marinade,Braised black beans,Radish kimchi cubes,S korean melon salad,S milk (200ml),Steamed sweet rice (add),Pork back-bone stew,Stir-fried tofu and vegetables in oyster sauce,Stir-fried spicy jukkumi,Ponytail radish kimchi,S sweet pumpkin rice punch,empty,Steamed chestnut bean rice (40),Kimchi soup,Barbequed pork belly and cuttlefish (mild flavor),empty,Young radish water kimchi
316,Steamed sorghum rice (30),Seafood soup,Seasoned winter mushroom and chive,Seasoned oyster mushroom,Pickled cucumber,S red bean porridge,S walnut milk,Steamed chestnut bean rice,Oyster mushroom soup,Vegetable croquette,Seasoned winter mushroom,Cucumber kimchi,S soft tofu salad (oriental dressing),S rice-based beverage,Bulgogi vegetable fried rice,Mandu (dumpling) soup,Stir-fried sweet potato stem,empty,Water kimchi
